ID,Position,Nationality,Overall rating,Preferred foot,League,Height,Value,Name,Age,Attacking,Team,Defending,Goalkeeping,Wage,Movement
617641,RW,Cyprus,83,Left,"Galloway, Mosley and Jones (Western Sahara)",180cm,€91.7M,D. Curtis,50,92.9,"Murphy, Harrell and Henderson",16.3,54.1,€206K,25.7
511243,RWB,Cyprus,83,Left,"Coffey, Morris and Bell (Greece)",153cm,€85.4M,W. Hurst,27,66.0,Campbell-Osborn,69.5,53.8,€192K,88.1
454334,RWB,Turks and Caicos Islands,83,Left,Premier League (England),182cm,€97.6M,Cooper,20,73.4,Gentry-Garcia,75.8,53.0,€192K,85.2
642794,LB,Turks and Caicos Islands,83,Right,Beltran-Keith (Cyprus),194cm,€83M,G. Ramsey,20,89.6,Perez-Lambert,62.7,32.2,€184K,27.8
143129,CB,Greece,83,Left,Villegas-Haas (Austria),152cm,€71.7M,G. Davila,25,84.7,"Smith, Kemp and Yu",78.1,22.9,€177K,70.7
958953,LB,Botswana,82,Right,Beltran-Keith (Cyprus),183cm,€81.5M,Thomas Turner,40,69.5,Perez-Lambert,86.3,63.4,€184K,22.3
664410,GK,Saint Kitts and Nevis,82,Left,Taylor-Cross (Vietnam),174cm,€84.4M,B. Davis,34,72.2,"Orozco, Mercado and Bartlett",85.2,54.6,€186K,59.0
967536,ST,Cyprus,82,Left,Beltran-Keith (Cyprus),205cm,€66.1M,T. Sullivan,40,82.2,Harrison Ltd,81.4,27.9,€166K,47.4
222412,LWB,Vietnam,82,Right,Stewart-Cooper (Vietnam),174cm,€69.9M,Carl Sampson,29,42.9,Wilson Ltd,48.7,72.8,€184K,84.6
877936,CB,Saint Kitts and Nevis,82,Right,Villegas-Haas (Austria),165cm,€78.9M,E. Gardner,35,64.6,"Smith, Kemp and Yu",48.1,58.7,€158K,87.9
796150,RB,Guatemala,82,Right,Premier League (England),172cm,€66.6M,L. Salazar,24,57.5,Paris Saint Germain,34.6,70.8,€167K,85.3
911317,RB,Greece,82,Right,"Smith, Townsend and Moon (Vietnam)",175cm,€63.4M,J. Richardson,31,32.9,Martinez Inc,19.9,73.1,€151K,84.9
640989,LW,Faroe Islands,82,Right,Premier League (England),188cm,€62.7M,C. Sanchez,51,36.0,Paris Saint Germain,38.3,90.7,€163K,57.8
337964,GK,Qatar,82,Left,Premier League (England),171cm,€62.6M,Thomas Stephens,21,62.7,Stark Ltd,89.0,38.7,€150K,28.6
575544,RWB,Guatemala,82,Left,Taylor-Cross (Vietnam),164cm,€64.4M,J. Guerrero,21,83.0,Miller Group,55.9,43.4,€149K,78.6
780472,RB,Qatar,82,Right,"Smith, Townsend and Moon (Vietnam)",152cm,€58.1M,B. Hall,21,40.8,Martinez Inc,16.8,88.9,€146K,60.7
690409,RWB,Botswana,82,Left,Stewart-Cooper (Vietnam),206cm,€56M,S. Ramirez,32,50.4,Holland Ltd,74.1,52.3,€147K,84.0
477496,RWB,Guatemala,82,Left,"Galloway, Mosley and Jones (Western Sahara)",162cm,€60.6M,Riley Jr.,28,75.4,"Murphy, Harrell and Henderson",83.6,39.5,€151K,57.6
108922,CAM,Greece,82,Left,"White, Wiley and Jimenez (Saint Kitts and Nevis)",182cm,€60M,D. Wells,26,29.7,Oneill and Sons,68.5,56.1,€147K,86.1
805253,RWB,Greece,82,Left,"Middleton, Mccarty and Sullivan (Botswana)",159cm,€54.5M,Cameron Jr.,24,69.1,Brown-Watson,65.3,50.6,€129K,86.6
895389,CB,Western Sahara,82,Left,"Middleton, Mccarty and Sullivan (Botswana)",169cm,€59.5M,T. Combs,32,86.0,FC Barcelona,52.1,22.6,€143K,70.2
191196,LW,Faroe Islands,82,Right,"Galloway, Mosley and Jones (Western Sahara)",175cm,€48.9M,Ryan Grant,20,30.4,FC Bayern München,60.6,88.7,€134K,39.3
732774,CB,Austria,82,Left,Taylor-Cross (Vietnam),177cm,€51M,N. Travis,26,62.4,Collins-Moore,77.7,35.7,€132K,82.8
25088,RW,Western Sahara,82,Left,Taylor-Cross (Vietnam),210cm,€45.1M,S. Rodriguez,34,35.0,Liverpool,72.1,32.9,€134K,84.1
507923,RB,Vietnam,81,Right,Premier League (England),203cm,€45.3M,B. Guerrero,35,63.2,Martinez-Townsend,48.3,87.4,€127K,55.5
967046,CAM,Turks and Caicos Islands,81,Left,Dunlap-Jenkins (Greece),167cm,€46.9M,Shawn Jr.,21,65.7,"Mckinney, Williams and Wright",40.1,40.0,€119K,85.5
65933,RW,Greece,81,Right,Villegas-Haas (Austria),178cm,€45.7M,R. Hernandez,22,64.8,Huber-Rogers,87.0,51.0,€123K,26.4
115188,CB,Saint Kitts and Nevis,81,Left,"White, Wiley and Jimenez (Saint Kitts and Nevis)",195cm,€40.9M,P. Underwood,25,52.7,"Wheeler, Moore and Allen",60.1,39.6,€100K,88.0
361065,RW,Vietnam,81,Right,"Coffey, Morris and Bell (Greece)",205cm,€50.8M,R. Mccormick,43,69.1,Gordon-Henderson,84.5,60.8,€124K,28.0
860877,LB,Vietnam,81,Left,Premier League (England),187cm,€40.7M,M. Fowler,39,50.6,Davis-Kelly,49.8,48.3,€111K,90.9
181020,RWB,Turks and Caicos Islands,81,Left,Premier League (England),207cm,€39.9M,J. Murphy,37,77.5,Garcia Inc,77.1,75.6,€100K,82.6
885792,LM,Turks and Caicos Islands,81,Right,Taylor-Cross (Vietnam),161cm,€38M,D. Mcdowell,20,54.2,Miller Group,63.5,86.2,€100K,53.5
320714,LB,Austria,81,Right,Premier League (England),153cm,€34.5M,E. Pitts,20,86.2,Yoder-Ramos,67.3,45.7,€99K,30.0
34545,RM,Western Sahara,81,Left,Premier League (England),158cm,€31.9M,Scott Jr.,20,61.4,"Bell, Brewer and Little",47.5,40.7,€102K,87.1
624406,LM,Saint Kitts and Nevis,81,Right,"Coffey, Morris and Bell (Greece)",152cm,€42.4M,Gardner,16,19.1,Campbell-Osborn,58.1,89.0,€99K,47.2
67563,RB,Guatemala,81,Right,Premier League (England),164cm,€25.8M,Copeland,27,67.9,Martinez-Townsend,40.2,85.3,€99K,64.4
567455,RB,Botswana,81,Right,Stewart-Cooper (Vietnam),151cm,€29.4M,L. Osborne,26,63.5,Holland Ltd,40.3,81.1,€99K,79.2
649403,LM,Saint Kitts and Nevis,81,Right,Beltran-Keith (Cyprus),190cm,€26M,K. Cox,24,55.8,Harrison Ltd,60.5,88.4,€99K,52.7
526780,RB,Guatemala,81,Left,Villegas-Haas (Austria),197cm,€29.7M,A. Martin,22,56.6,Edwards Group,71.2,43.7,€99K,84.4
567961,RB,Austria,81,Right,Premier League (England),186cm,€25.6M,Ryan Green,31,38.5,"Taylor, Bowen and Cantrell",53.5,89.7,€100K,55.7
543546,LW,Faroe Islands,81,Right,Premier League (England),205cm,€24.9M,Brooks,21,57.5,Stark Ltd,40.8,88.7,€99K,40.7
183215,RM,Faroe Islands,81,Left,Beltran-Keith (Cyprus),164cm,€25M,Andre Williams,20,57.9,"Johnson, Burnett and Adams",53.7,51.8,€99K,88.5
101419,LB,Turks and Caicos Islands,81,Left,Taylor-Cross (Vietnam),163cm,€25.6M,M. Reed,22,28.2,Miller Group,46.5,61.2,€98K,88.2
76911,RW,Vietnam,81,Right,Premier League (England),169cm,€26.5M,S. Garner,27,68.0,Garcia Inc,85.9,54.3,€98K,44.0
822455,CB,Austria,81,Right,Premier League (England),189cm,€17.1M,R. Thompson,35,38.9,Garcia Inc,58.4,24.1,€99K,88.0
584915,CB,Western Sahara,81,Left,"Galloway, Mosley and Jones (Western Sahara)",207cm,€15M,George Sanders,41,82.5,"Murphy, Harrell and Henderson",74.7,30.3,€98K,78.0
937371,LW,Saint Kitts and Nevis,81,Right,Premier League (England),209cm,€16.6M,Robinson,30,40.8,Davis-Kelly,58.8,88.7,€98K,38.2
142900,RB,Faroe Islands,81,Right,Premier League (England),163cm,€9.9M,C. Johnson,30,53.6,"Bullock, Rivera and Briggs",30.6,82.7,€98K,75.0
257601,RM,Austria,81,Left,Premier League (England),177cm,€18.6M,G. Williams,29,24.1,Orozco LLC,26.1,44.9,€97K,93.2
937780,LW,Saint Kitts and Nevis,81,Right,Stewart-Cooper (Vietnam),169cm,€10M,Robert Anderson,16,40.0,Wilson Ltd,57.4,89.5,€97K,45.3
806780,LWB,Botswana,81,Left,"White, Wiley and Jimenez (Saint Kitts and Nevis)",150cm,€10M,D. Schneider,28,48.2,Oneill and Sons,83.8,25.5,€97K,71.2
753787,LW,Botswana,80,Left,Taylor-Cross (Vietnam),204cm,€9.9M,K. Miller,50,86.8,Collins-Moore,46.8,60.3,€97K,35.8
712887,CB,Western Sahara,80,Left,Premier League (England),181cm,€9.9M,Gary Jr.,54,52.4,Bell-Odom,47.6,43.3,€97K,89.6
631204,CB,Western Sahara,80,Left,Premier League (England),185cm,€9.8M,R. Zimmerman,40,81.4,Paris Saint Germain,77.6,56.3,€97K,58.9
426818,RW,Cyprus,80,Right,Beltran-Keith (Cyprus),185cm,€13.8M,B. Sutton,35,81.1,"Johnson, Burnett and Adams",78.4,57.8,€97K,46.7
17284,LW,Guatemala,80,Left,Premier League (England),191cm,€9.9M,W. Bowen,47,75.2,Stark Ltd,40.2,81.0,€96K,42.9
476338,RWB,Cyprus,80,Left,"Coffey, Morris and Bell (Greece)",151cm,€9.6M,David Daniel,32,82.5,Gordon-Henderson,47.5,67.6,€96K,74.5
894165,LB,Austria,80,Right,Premier League (England),210cm,€9.6M,Bruce Jr.,22,83.6,"Taylor, Bowen and Cantrell",70.7,31.7,€96K,25.7
697582,GK,Western Sahara,80,Right,"Smith, Townsend and Moon (Vietnam)",195cm,€9.8M,Steven Jr.,53,38.3,Martinez Inc,69.7,32.4,€96K,83.0
460631,CB,Guatemala,80,Left,Premier League (England),195cm,€9.5M,Waters,18,67.9,"Banks, Romero and Wolf",84.3,24.1,€97K,54.3
354171,RWB,Cyprus,80,Left,"Middleton, Mccarty and Sullivan (Botswana)",178cm,€9.4M,J. Montgomery,20,80.9,FC Barcelona,50.4,60.4,€95K,78.7
157730,LM,Qatar,80,Right,Stewart-Cooper (Vietnam),159cm,€9.4M,R. Rose,32,50.8,Manchester United,48.8,89.6,€95K,28.7
157767,RW,Botswana,80,Left,Premier League (England),153cm,€9.4M,B. Williams,32,87.5,"Banks, Romero and Wolf",9.1,56.8,€95K,30.7
43337,GK,Saint Kitts and Nevis,80,Right,Premier League (England),203cm,€9.4M,J. Elliott,34,22.4,Bell-Odom,53.5,47.9,€96K,88.8
936351,RB,Faroe Islands,80,Right,Beltran-Keith (Cyprus),155cm,€9.3M,D. Howe,28,52.2,Harrison Ltd,33.3,82.8,€94K,70.9
256417,CB,Vietnam,80,Left,Stewart-Cooper (Vietnam),202cm,€9.4M,M. Davenport,44,56.0,Manchester United,64.0,34.7,€94K,85.2
608687,LW,Austria,80,Right,Villegas-Haas (Austria),153cm,€9.4M,T. Perez,45,42.9,"Smith, Kemp and Yu",53.3,88.3,€95K,19.3
723535,GK,Cyprus,80,Right,"White, Wiley and Jimenez (Saint Kitts and Nevis)",204cm,€9M,J. Tucker,28,22.1,"Wheeler, Moore and Allen",82.8,51.1,€94K,70.8
101434,RW,Vietnam,80,Left,Dunlap-Jenkins (Greece),177cm,€9.3M,R. Bullock,23,87.9,Willis Inc,20.9,57.9,€94K,10.4
420984,GK,Botswana,80,Right,Villegas-Haas (Austria),208cm,€9M,Schneider,20,39.4,Huber-Rogers,79.6,42.3,€94K,80.8
412973,LW,Austria,80,Right,Stewart-Cooper (Vietnam),199cm,€9.3M,G. Cooper,26,65.1,Wall PLC,56.4,84.4,€94K,47.1
585113,GK,Greece,80,Right,Beltran-Keith (Cyprus),198cm,€8.8M,Benson,35,55.7,"Johnson, Burnett and Adams",48.4,27.5,€94K,87.5
814816,LB,Cyprus,80,Left,Taylor-Cross (Vietnam),189cm,€8.9M,M. Freeman,22,20.3,Miller Group,35.0,46.8,€93K,90.9
798480,CDM,Western Sahara,80,Right,Villegas-Haas (Austria),177cm,€8.9M,Edwin Jr.,21,85.8,Huber-Rogers,49.0,41.1,€93K,63.4
446373,RW,Turks and Caicos Islands,80,Left,Villegas-Haas (Austria),182cm,€9.2M,R. Lester,48,92.0,Ross Inc,14.9,38.1,€93K,45.8
712786,LB,Greece,79,Left,"Middleton, Mccarty and Sullivan (Botswana)",207cm,€8.8M,Michael Franco,33,36.6,FC Barcelona,67.2,56.0,€93K,82.5
57569,CF,Vietnam,79,Left,Premier League (England),157cm,€8.6M,Weiss,35,83.8,Campbell and Sons,27.7,49.0,€92K,64.2
663938,RWB,Western Sahara,79,Left,Premier League (England),175cm,€8.6M,J. Page,31,79.8,Orozco LLC,70.3,53.5,€93K,74.8
25198,CM,Guatemala,79,Left,Premier League (England),159cm,€8.6M,T. Bridges,33,18.0,"Banks, Romero and Wolf",79.5,76.0,€93K,41.5
975717,LB,Faroe Islands,79,Right,Villegas-Haas (Austria),208cm,€8.6M,A. Lopez,21,57.9,Ross-Weber,86.1,38.6,€92K,35.0
50092,CDM,Cyprus,79,Left,Stewart-Cooper (Vietnam),160cm,€8.5M,Sanders,32,59.3,Holland Ltd,22.7,22.3,€92K,85.3
66530,RM,Austria,79,Left,Premier League (England),156cm,€8.8M,B. Fuentes,34,40.9,Martinez-Townsend,38.1,24.0,€92K,91.6
189473,LB,Faroe Islands,79,Left,Beltran-Keith (Cyprus),190cm,€8.5M,P. Martinez,37,55.7,"Johnson, Burnett and Adams",38.1,44.2,€92K,86.7
459814,RW,Qatar,79,Left,"Galloway, Mosley and Jones (Western Sahara)",157cm,€8.4M,L. Weaver,33,89.7,FC Bayern München,45.1,25.6,€91K,31.9
304307,LB,Austria,79,Right,Villegas-Haas (Austria),174cm,€8.3M,Davis,34,82.6,Ross Inc,68.7,50.3,€92K,35.5
25782,CB,Saint Kitts and Nevis,79,Right,"Smith, Townsend and Moon (Vietnam)",207cm,€8.5M,Wilson,33,31.4,Martinez Inc,51.5,20.4,€92K,88.0
812293,RWB,Botswana,79,Left,Taylor-Cross (Vietnam),182cm,€8.5M,J. Farley,33,57.6,Miller Group,70.9,38.3,€91K,81.1
665043,LM,Turks and Caicos Islands,79,Right,Premier League (England),166cm,€8.3M,M. Molina,26,29.0,"Bullock, Rivera and Briggs",47.2,89.6,€93K,27.2
34301,RW,Austria,79,Right,Premier League (England),181cm,€8.2M,David Jr.,23,46.9,Campbell and Sons,88.8,49.1,€91K,31.5
296502,RM,Western Sahara,79,Right,Premier League (England),182cm,€8.6M,Peterson,30,67.4,Martinez-Townsend,82.5,50.1,€91K,45.8
272602,LWB,Botswana,79,Right,Beltran-Keith (Cyprus),193cm,€8.3M,Lee Williams,22,51.6,"Johnson, Burnett and Adams",76.1,37.8,€91K,79.5
846137,GK,Greece,79,Right,Dunlap-Jenkins (Greece),183cm,€8.1M,P. Gibbs,30,40.0,"Mckinney, Williams and Wright",49.8,57.1,€90K,86.4
133506,CF,Vietnam,79,Left,Premier League (England),207cm,€8.2M,Ryan Smith,17,80.8,Garcia Inc,31.5,35.0,€90K,72.0
854450,CB,Saint Kitts and Nevis,79,Right,Premier League (England),209cm,€8.1M,Cameron Munoz,26,64.3,"Diaz, Evans and Pham",51.1,41.7,€90K,84.3
429085,LB,Turks and Caicos Islands,79,Right,Stewart-Cooper (Vietnam),154cm,€8.2M,D. Sutton,34,82.6,Wall PLC,68.2,30.5,€90K,11.5
650328,ST,Vietnam,79,Left,Taylor-Cross (Vietnam),201cm,€8.2M,P. Chung,31,63.2,Miller Group,83.0,46.2,€90K,67.3
830643,LM,Western Sahara,79,Right,Premier League (England),193cm,€7.8M,K. Salazar,22,35.0,"Banks, Romero and Wolf",72.0,80.7,€90K,46.0
658933,CB,Faroe Islands,79,Left,Dunlap-Jenkins (Greece),202cm,€7.9M,Cline,22,85.0,"Hayes, Jones and Bernard",56.0,48.1,€90K,59.5
691811,ST,Botswana,79,Left,Premier League (England),189cm,€7.9M,D. Robles,23,80.4,"Banks, Romero and Wolf",75.9,19.7,€89K,55.2
716385,LB,Turks and Caicos Islands,79,Right,Premier League (England),177cm,€7.6M,James Jr.,35,86.8,Lawson Ltd,55.4,41.6,€89K,35.6
462469,LW,Austria,79,Right,Stewart-Cooper (Vietnam),159cm,€7.7M,T. Lyons,21,33.8,Wall PLC,55.3,87.0,€89K,20.2
659210,RWB,Turks and Caicos Islands,79,Left,Premier League (England),196cm,€8M,J. Vega,23,81.5,Gentry-Garcia,63.5,65.7,€88K,71.9
511899,RW,Western Sahara,79,Right,Premier League (England),171cm,€7.6M,Cox,38,81.4,Garcia Inc,60.5,70.2,€89K,44.8
626632,RW,Botswana,79,Left,Premier League (England),180cm,€7.3M,S. Mullins,23,91.8,"Banks, Romero and Wolf",38.6,40.3,€88K,16.7
893039,LW,Austria,78,Right,Villegas-Haas (Austria),161cm,€7.3M,D. Molina,31,40.7,Ross-Weber,31.8,89.9,€88K,21.6
57752,LWB,Botswana,78,Right,Villegas-Haas (Austria),152cm,€7.3M,J. Jones,26,60.0,Huber-Rogers,48.1,68.0,€88K,81.0
803277,RM,Saint Kitts and Nevis,78,Left,"Middleton, Mccarty and Sullivan (Botswana)",150cm,€7.7M,Allen Jr.,21,54.5,Brown-Watson,36.2,56.7,€89K,85.2
