,Name,Attack,Defense,HP,Region,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
55,Growlithe,242,140,38,Alola,192,245,155,Bug,DNE
56,Arcanine,62,191,183,Galar,186,122,13,Poison,Ghost
57,Poliwag,100,38,56,Sinnoh,150,149,250,Dragon,DNE
58,Poliwhirl,114,49,252,Kanto,165,69,224,Ghost,Ice
59,Poliwrath,225,52,122,Paldea,76,75,199,Fire,DNE
60,Abra,238,88,165,Sinnoh,59,177,91,Electric,Ghost
61,Kadabra,220,151,117,Kalos,229,160,143,Fairy,Grass
62,Alakazam,169,178,61,Alola,2,245,149,Flying,Steel
63,Machop,31,143,50,Kanto,115,27,214,Ice,Bug
64,Machoke,106,7,124,Alola,22,180,180,Psychic,DNE
65,Machamp,42,48,108,Hoenn,198,26,147,Fighting,Normal
66,Bellsprout,221,66,110,Unova,194,192,8,Flying,DNE
67,Weepinbell,87,188,136,Johto,124,52,183,Ghost,Flying
68,Victreebel,16,96,236,Johto,20,160,164,Fighting,Ice
69,Tentacool,30,256,181,Paldea,146,230,247,Flying,DNE
70,Tentacruel,117,166,27,Johto,31,57,188,Poison,Ground
71,Geodude,98,28,127,Unova,250,150,95,Dragon,Electric
72,Graveler,102,91,245,Paldea,114,243,199,Dragon,Electric
73,Golem,162,90,85,Paldea,197,2,65,Normal,Grass
74,Ponyta,190,42,125,Galar,139,66,70,Dark,Fighting
75,Rapidash,185,228,172,Kanto,114,136,88,Water,Electric
76,Slowpoke,165,76,23,Paldea,12,7,106,Ice,Dark
77,Slowbro,138,177,49,Kanto,126,164,161,Steel,DNE
78,Magnemite,53,164,82,Paldea,192,195,22,Flying,Dark
79,Magneton,198,244,23,Sinnoh,209,125,200,Poison,Bug
80,Doduo,130,137,43,Hoenn,11,22,230,Ghost,Dark
81,Dodrio,84,231,151,Hoenn,204,72,239,Fighting,Poison
82,Seel,41,132,169,Unova,38,191,230,Bug,Psychic
83,Dewgong,163,120,203,Unova,115,222,97,Steel,DNE
84,Grimer,140,236,241,Hoenn,199,55,188,Electric,Normal
85,Muk,38,101,71,Unova,118,129,115,Water,DNE
86,Shellder,42,162,56,Kanto,248,194,67,Fighting,Steel
87,Cloyster,103,100,174,Unova,240,223,50,Fighting,DNE
88,Gastly,122,80,60,Unova,148,101,211,Electric,DNE
89,Haunter,151,14,77,Kanto,148,111,80,Dragon,Ice
90,Gengar,103,82,247,Johto,63,47,141,Bug,Dark
91,Onix,192,246,223,Kalos,208,188,135,Dragon,Fighting
92,Drowzee,148,194,36,Kanto,20,64,103,Ghost,Normal
93,Hypno,37,254,96,Hoenn,7,183,81,Ghost,Flying
94,Krabby,44,212,33,Alola,250,173,77,Water,Dark
95,Kingler,247,119,131,Hoenn,164,40,170,Fighting,DNE
96,Voltorb,142,94,36,Kalos,70,72,94,Dragon,Ghost
97,Electrode,82,228,220,Alola,224,219,24,Fighting,DNE
98,Exeggcute,225,174,194,Sinnoh,104,87,208,Fighting,Fairy
99,Exeggutor,120,152,216,Unova,167,162,152,Water,DNE
100,Cubone,214,219,73,Johto,186,36,36,Fighting,Water
101,Marowak,176,245,53,Kalos,138,196,179,Water,DNE
102,Hitmonlee,58,81,235,Sinnoh,155,85,133,Dragon,Ice
103,Hitmonchan,209,51,222,Paldea,62,70,231,Flying,DNE
104,Lickitung,243,152,111,Paldea,130,59,73,Rock,Fairy
105,Koffing,13,202,25,Paldea,58,172,34,Steel,Normal
106,Weezing,233,5,161,Kanto,222,250,66,Ghost,Grass
107,Rhyhorn,160,126,30,Alola,184,120,161,Fighting,Poison
108,Rhydon,34,130,74,Paldea,114,8,28,Fire,Ice
109,Chansey,28,56,233,Hoenn,248,4,15,Dragon,Fighting
110,Tangela,24,10,32,Alola,241,113,130,Fire,Electric
111,Kangaskhan,108,22,37,Kanto,8,169,119,Fighting,Flying
112,Horsea,64,24,42,Alola,164,139,192,Ground,Rock
113,Seadra,161,114,225,Kalos,196,52,56,Dark,Poison
114,Goldeen,102,14,22,Galar,59,125,197,Rock,Psychic
115,Seaking,74,222,51,Galar,250,153,76,Fairy,Ground
116,Staryu,137,49,60,Paldea,201,206,244,Dark,Water
117,Starmie,180,53,3,Sinnoh,61,80,97,Fire,Psychic
118,Scyther,164,191,56,Johto,176,195,246,Ghost,DNE
119,Jynx,5,65,9,Hoenn,239,77,191,Ghost,Electric
120,Electabuzz,36,137,49,Galar,47,218,194,Dragon,Fairy
121,Magmar,240,174,33,Hoenn,145,9,218,Bug,Water
122,Pinsir,69,51,181,Kalos,148,203,143,Grass,DNE
123,Tauros,10,137,164,Galar,242,25,26,Fire,DNE
124,Magikarp,89,123,167,Sinnoh,253,64,233,Ground,Water
125,Gyarados,172,180,15,Johto,48,82,48,Electric,Flying
126,Lapras,120,213,85,Alola,130,133,231,Fighting,Bug
127,Ditto,98,62,37,Johto,216,100,96,Dark,DNE
128,Eevee,178,94,81,Paldea,91,239,47,Rock,Ice
129,Vaporeon,85,50,11,Sinnoh,135,81,225,Fighting,Dark
130,Jolteon,91,136,93,Sinnoh,15,144,202,Psychic,DNE
131,Flareon,55,187,127,Kanto,96,114,138,Grass,Ground
132,Porygon,54,129,255,Alola,67,3,244,Normal,Electric
133,Omanyte,142,111,202,Galar,199,144,110,Water,Steel
134,Omastar,194,119,13,Sinnoh,81,208,144,Fire,Ghost
135,Kabuto,204,146,37,Johto,206,30,173,Electric,Ghost
136,Kabutops,16,47,144,Sinnoh,104,21,235,Dragon,Rock
137,Aerodactyl,71,146,54,Unova,234,128,228,Bug,Steel
138,Snorlax,231,76,68,Paldea,246,251,167,Electric,Rock
139,Articuno,248,7,177,Unova,229,256,36,Steel,DNE
140,Zapdos,178,124,93,Johto,149,20,60,Grass,Fairy
141,Moltres,223,139,214,Alola,5,236,187,Dark,Grass
142,Dratini,224,4,232,Sinnoh,224,82,153,Psychic,DNE
143,Dragonair,36,105,2,Kalos,198,56,19,Psychic,DNE
144,Dragonite,50,39,7,Kalos,138,20,251,Fire,Flying
145,Mewtwo,227,114,26,Sinnoh,236,212,23,Dark,Ground
146,Mew,178,17,250,Kalos,69,252,224,Steel,Psychic
147,Chikorita,233,109,114,Paldea,43,71,49,Steel,Grass
148,Bayleef,240,31,16,Alola,40,23,82,Electric,Ground
149,Meganium,88,153,161,Johto,28,53,253,Fire,Grass
150,Cyndaquil,57,3,241,Alola,76,97,80,Fighting,Steel
151,Quilava,55,70,248,Galar,40,86,230,Rock,Steel
152,Typhlosion,129,128,204,Sinnoh,160,170,201,Ground,DNE
153,Totodile,237,156,18,Hoenn,178,10,48,Fighting,Rock
154,Croconaw,117,117,246,Alola,101,252,63,Flying,DNE
155,Feraligatr,214,176,108,Unova,151,132,234,Rock,Flying
156,Sentret,22,24,111,Hoenn,189,177,156,Electric,DNE
157,Furret,164,183,75,Unova,170,95,125,Dark,Grass
158,Hoothoot,168,214,150,Kanto,184,184,213,Ice,Water
159,Noctowl,40,36,203,Alola,75,84,51,Steel,Dragon
160,Ledyba,117,191,24,Paldea,88,248,31,Dark,DNE
161,Ledian,37,74,253,Paldea,222,56,235,Grass,Ghost
162,Spinarak,196,22,138,Unova,204,73,87,Grass,Normal
163,Ariados,19,51,70,Sinnoh,190,226,131,Fighting,Ground
164,Crobat,95,198,235,Sinnoh,22,226,177,Electric,Rock
165,Chinchou,39,210,173,Galar,184,109,73,Fire,Grass
166,Lanturn,59,69,138,Sinnoh,131,48,51,Flying,DNE
167,Pichu,3,68,100,Johto,79,139,125,Electric,Ghost
168,Cleffa,19,151,72,Alola,65,251,204,Ghost,DNE
169,Igglybuff,77,220,131,Johto,181,248,187,Bug,DNE
170,Togepi,23,256,44,Alola,211,173,231,Psychic,Fighting
171,Togetic,2,150,10,Kanto,199,130,106,Ghost,DNE
172,Natu,16,152,91,Alola,10,144,4,Ice,Electric
173,Xatu,54,193,120,Galar,61,205,65,Normal,Psychic
174,Mareep,126,90,110,Galar,197,251,142,Psychic,Fairy
175,Flaaffy,235,38,211,Sinnoh,45,130,65,Psychic,Flying
176,Ampharos,33,145,35,Hoenn,125,209,119,Dragon,Grass
177,Bellossom,246,246,132,Kalos,76,137,16,Psychic,Grass
178,Marill,93,213,155,Hoenn,170,77,170,Fire,DNE
179,Azumarill,249,111,1,Hoenn,121,186,39,Ground,Fire
180,Sudowoodo,46,148,97,Johto,188,106,178,Fairy,DNE
181,Politoed,44,57,79,Kalos,151,94,44,Dark,DNE
182,Hoppip,77,34,238,Alola,119,78,113,Ghost,Bug
183,Skiploom,173,124,55,Galar,72,186,154,Psychic,Normal
184,Jumpluff,205,76,215,Kalos,250,241,109,Flying,DNE
185,Aipom,5,210,74,Paldea,39,186,147,Fighting,DNE
186,Sunkern,172,154,138,Paldea,141,165,231,Psychic,Normal
187,Sunflora,207,243,157,Kanto,180,118,230,Fighting,DNE
188,Yanma,114,231,248,Kalos,137,233,52,Water,Bug
189,Wooper,78,28,156,Galar,5,158,87,Steel,DNE
190,Quagsire,117,246,170,Galar,1,105,13,Dark,Ground
191,Espeon,214,69,133,Hoenn,115,94,235,Flying,DNE
192,Umbreon,143,157,198,Paldea,239,121,151,Dragon,Electric
193,Murkrow,41,90,58,Johto,111,228,136,Bug,DNE
194,Slowking,171,79,172,Hoenn,37,103,122,Rock,DNE
195,Misdreavus,85,188,129,Galar,5,74,219,Fairy,Water
196,Unown,39,147,219,Sinnoh,29,83,17,Electric,Water
197,Wobbuffet,1,88,233,Hoenn,76,154,148,Fire,Normal
198,Girafarig,176,205,81,Hoenn,153,144,155,Dragon,DNE
199,Pineco,229,216,183,Kanto,210,121,146,Ground,Electric
200,Forretress,201,57,89,Alola,240,130,102,Bug,Normal
201,Dunsparce,95,103,16,Kalos,215,106,62,Steel,DNE
202,Gligar,166,254,233,Hoenn,48,233,38,Flying,DNE
203,Steelix,171,75,93,Paldea,191,200,201,Dark,Water
204,Snubbull,24,50,253,Kalos,79,82,151,Ground,Psychic
205,Granbull,24,219,174,Kalos,25,152,89,Rock,Ice
206,Qwilfish,14,14,51,Alola,35,188,131,Steel,Ice
207,Scizor,23,23,13,Unova,238,206,21,Grass,Flying
208,Shuckle,164,37,179,Sinnoh,120,189,198,Electric,Ice
209,Heracross,40,154,103,Kalos,105,254,180,Dragon,Water
210,Sneasel,32,79,176,Hoenn,161,178,101,Fighting,Rock
211,Teddiursa,177,108,180,Kanto,206,248,118,Grass,DNE
212,Ursaring,169,21,43,Hoenn,198,174,68,Electric,Flying
213,Slugma,120,243,117,Unova,240,185,13,Dark,Normal
214,Magcargo,31,28,160,Kalos,13,101,43,Fairy,Dragon
215,Swinub,96,59,66,Johto,162,228,136,Water,Rock
216,Piloswine,116,160,243,Hoenn,64,6,20,Bug,Water
217,Corsola,98,104,241,Sinnoh,89,228,113,Ice,Electric
218,Remoraid,143,221,18,Alola,215,99,47,Dark,DNE
219,Octillery,77,76,75,Unova,36,73,226,Psychic,Dragon
220,Delibird,186,126,54,Galar,238,256,118,Dragon,DNE
221,Mantine,65,154,254,Paldea,135,246,65,Ice,Fairy
222,Skarmory,10,135,72,Kalos,241,87,216,Ghost,Fighting
223,Houndour,57,31,226,Unova,38,128,189,Water,Ground
224,Houndoom,59,185,59,Unova,78,54,214,Bug,DNE
225,Kingdra,98,75,122,Kanto,132,186,121,Fire,Ghost
226,Phanpy,208,18,64,Johto,237,12,234,Electric,Ice
227,Donphan,200,74,59,Johto,206,129,168,Dark,Ghost
228,Porygon2,178,22,17,Unova,207,227,50,Steel,Water
229,Stantler,85,200,246,Johto,51,135,116,Rock,DNE
230,Smeargle,84,213,185,Galar,168,61,225,Rock,Electric
231,Tyrogue,150,213,43,Galar,80,156,58,Ground,Dark
232,Hitmontop,153,170,41,Hoenn,4,77,149,Electric,Dragon
233,Smoochum,129,148,38,Paldea,147,237,158,Dragon,Steel
234,Elekid,219,228,27,Kalos,51,86,203,Steel,Fighting
235,Magby,202,59,169,Alola,67,153,97,Ground,DNE
236,Miltank,108,151,104,Kanto,248,21,19,Fairy,DNE
237,Blissey,141,141,187,Kalos,104,176,103,Fighting,Ice
238,Raikou,74,62,66,Hoenn,112,8,239,Dragon,Rock
239,Entei,166,38,19,Paldea,141,59,167,Ground,Flying
240,Suicune,74,145,157,Johto,168,218,225,Water,Dragon
241,Larvitar,253,24,246,Kalos,46,28,78,Fire,Fighting
242,Pupitar,14,24,163,Galar,195,216,206,Normal,Rock
243,Tyranitar,145,38,127,Paldea,128,114,29,Flying,DNE
244,Lugia,13,85,217,Unova,17,13,145,Ghost,Dragon
245,Ho-oh,39,222,25,Sinnoh,115,210,49,Psychic,Flying
246,Celebi,64,21,188,Unova,235,224,210,Grass,Fighting
247,Treecko,9,144,225,Johto,157,160,182,Dark,Ice
248,Grovyle,179,168,55,Johto,43,52,164,Ghost,Flying
249,Sceptile,37,150,29,Unova,148,96,43,Poison,Flying
250,Torchic,173,169,165,Sinnoh,55,176,35,Bug,Psychic
251,Combusken,225,124,147,Kanto,44,201,79,Fairy,DNE
252,Blaziken,247,101,78,Johto,163,162,75,Normal,DNE
253,Mudkip,13,211,123,Galar,256,163,183,Electric,Bug
254,Marshtomp,16,192,194,Sinnoh,86,104,192,Dark,Ice
255,Swampert,37,212,199,Sinnoh,240,24,174,Dragon,Dark
256,Poochyena,167,240,132,Sinnoh,250,149,177,Normal,Ghost
257,Mightyena,160,72,82,Johto,234,127,180,Flying,Fire
258,Zigzagoon,256,92,223,Kalos,196,223,82,Grass,Electric
259,Linoone,76,200,121,Unova,234,57,112,Ground,DNE
260,Wurmple,213,116,73,Johto,254,145,27,Poison,Water
261,Silcoon,119,188,127,Sinnoh,125,68,124,Ground,Normal
262,Beautifly,247,40,164,Unova,8,42,49,Fighting,Ground
263,Cascoon,120,41,207,Kanto,60,92,42,Ice,DNE
264,Dustox,142,156,25,Hoenn,138,184,71,Dark,Dragon
265,Lotad,117,5,94,Johto,166,132,78,Fairy,Ground
266,Lombre,244,111,206,Paldea,164,221,169,Bug,Ice
267,Ludicolo,78,137,42,Kalos,67,199,89,Normal,Ice
268,Seedot,57,136,220,Galar,125,227,219,Fighting,Water
269,Nuzleaf,18,34,230,Hoenn,77,231,22,Ground,Steel
270,Shiftry,55,66,188,Galar,24,186,120,Dark,Poison
271,Taillow,169,251,29,Kanto,136,145,13,Dark,Fire
272,Swellow,173,14,198,Unova,65,139,37,Dark,Electric
273,Wingull,12,32,6,Galar,64,173,63,Dragon,Dark
274,Pelipper,20,160,85,Kalos,172,119,1,Psychic,DNE
275,Ralts,120,229,90,Sinnoh,217,1,216,Dragon,DNE
276,Kirlia,146,255,152,Alola,232,161,159,Ice,Grass
277,Gardevoir,4,120,155,Galar,223,150,169,Bug,Dragon
278,Surskit,155,81,90,Kanto,195,58,73,Dragon,DNE
279,Masquerain,223,181,107,Galar,87,130,78,Steel,Rock
280,Shroomish,166,215,107,Paldea,192,148,156,Dragon,Dark
281,Breloom,125,124,51,Sinnoh,116,256,251,Water,Bug
282,Slakoth,218,198,27,Sinnoh,92,57,130,Dark,Grass
283,Vigoroth,86,65,163,Alola,102,37,232,Fire,Water
284,Slaking,5,126,197,Galar,198,141,60,Steel,DNE
285,Nincada,12,74,18,Kanto,178,221,41,Flying,Psychic
286,Ninjask,85,108,33,Kanto,154,231,33,Fire,Fighting
287,Shedinja,150,175,206,Alola,65,229,144,Dragon,Fairy
288,Whismur,99,68,39,Kanto,54,161,58,Rock,Grass
289,Loudred,150,129,137,Kalos,125,10,168,Grass,Dark
290,Exploud,85,187,177,Hoenn,248,73,132,Ghost,DNE
291,Makuhita,135,153,166,Alola,129,136,186,Water,DNE
292,Hariyama,77,48,211,Paldea,237,99,232,Electric,Poison
293,Azurill,32,139,210,Paldea,145,191,187,Psychic,Ice
294,Nosepass,246,77,235,Johto,213,105,91,Dragon,Fire
295,Skitty,4,94,223,Kalos,139,70,80,Dark,Poison
296,Delcatty,122,128,11,Hoenn,26,220,115,Ghost,Dragon
297,Sableye,62,53,24,Kanto,170,128,85,Electric,Normal
298,Mawile,196,166,121,Alola,208,9,196,Ice,Rock
299,Aron,223,130,197,Alola,26,169,162,Water,Dark
300,Lairon,247,137,23,Hoenn,199,22,66,Poison,Steel
301,Aggron,156,123,57,Kanto,205,78,130,Water,Psychic
302,Meditite,251,20,213,Hoenn,28,180,153,Flying,Normal
303,Medicham,76,159,223,Alola,127,168,70,Electric,Ground
304,Electrike,1,80,120,Hoenn,144,166,122,Flying,DNE
305,Manectric,162,160,58,Johto,204,10,205,Electric,Fairy
306,Plusle,177,228,192,Sinnoh,118,108,115,Ghost,Fire
307,Minun,191,210,121,Alola,88,37,2,Bug,Poison
308,Volbeat,109,209,224,Galar,102,194,185,Dragon,DNE
309,Illumise,14,30,86,Kanto,78,71,132,Grass,Psychic
310,Roselia,182,191,117,Unova,92,148,156,Fighting,DNE
311,Gulpin,224,121,14,Kalos,65,133,24,Fire,DNE
312,Swalot,246,132,19,Kalos,21,133,52,Bug,Dark
313,Carvanha,159,211,235,Alola,196,200,90,Dark,Rock
314,Sharpedo,63,109,127,Galar,168,240,222,Dragon,Ice
315,Wailmer,94,242,130,Johto,255,219,13,Ground,Fighting
316,Wailord,117,243,102,Kalos,168,113,252,Fairy,Grass
317,Numel,52,10,202,Alola,108,141,172,Ground,DNE
318,Camerupt,173,179,26,Johto,206,41,247,Ground,Flying
319,Torkoal,72,176,65,Johto,102,78,170,Normal,DNE
320,Spoink,17,175,18,Kanto,15,160,42,Flying,Bug
321,Grumpig,141,51,191,Galar,237,80,208,Normal,Fighting
322,Spinda,182,139,136,Paldea,89,52,81,Flying,Ground
323,Trapinch,192,102,198,Alola,209,109,228,Psychic,Fighting
324,Vibrava,52,140,177,Kalos,67,183,173,Electric,Bug
325,Flygon,21,44,89,Kalos,36,1,36,Bug,Psychic
326,Cacnea,153,88,48,Alola,36,28,49,Flying,Fighting
327,Cacturne,80,80,38,Paldea,231,60,236,Poison,DNE
328,Swablu,131,252,122,Johto,100,13,195,Fire,Normal
329,Altaria,244,81,45,Unova,186,188,227,Bug,Fighting
330,Zangoose,232,74,253,Hoenn,27,147,139,Psychic,Ground
331,Seviper,214,123,232,Kalos,97,141,173,Bug,Water
332,Lunatone,126,177,12,Unova,168,157,39,Fairy,Water
333,Solrock,60,157,225,Unova,25,117,62,Bug,Rock
334,Barboach,108,162,204,Kalos,253,130,41,Poison,Normal
335,Whiscash,92,43,202,Unova,95,16,5,Psychic,Ground
336,Corphish,196,120,190,Paldea,187,193,9,Grass,Psychic
337,Crawdaunt,35,220,163,Hoenn,5,47,37,Electric,Poison
338,Baltoy,157,172,164,Galar,105,130,207,Poison,Water
339,Claydol,203,183,237,Galar,241,232,195,Ghost,Poison
340,Lileep,55,37,95,Unova,148,88,224,Grass,DNE
341,Cradily,190,57,244,Galar,187,68,42,Psychic,Fighting
342,Anorith,196,160,206,Johto,120,98,239,Flying,Fire
343,Armaldo,233,232,107,Hoenn,197,71,242,Water,DNE
344,Feebas,206,188,49,Alola,229,35,20,Fire,DNE
345,Milotic,18,84,68,Unova,231,120,56,Fire,Dark
346,Castform,17,243,85,Sinnoh,238,242,206,Dark,DNE
347,Kecleon,101,72,25,Hoenn,177,19,46,Grass,Rock
348,Shuppet,163,200,133,Unova,224,247,133,Poison,DNE
349,Banette,28,53,50,Alola,99,166,63,Ground,Grass
350,Duskull,126,247,154,Unova,43,167,152,Poison,Ice
351,Dusclops,17,207,192,Johto,221,180,248,Rock,Bug
352,Tropius,63,176,226,Unova,43,145,223,Dragon,Steel
353,Chimecho,137,157,237,Alola,123,12,89,Fairy,Ghost
354,Absol,201,83,109,Alola,133,48,33,Grass,Fairy
355,Wynaut,212,108,98,Sinnoh,255,80,93,Dragon,Flying
356,Snorunt,128,246,159,Paldea,113,134,12,Ice,DNE
357,Glalie,138,205,174,Kanto,6,107,26,Water,DNE
358,Spheal,129,54,202,Unova,210,107,170,Flying,DNE
359,Sealeo,253,97,235,Unova,96,139,59,Flying,Rock
360,Walrein,205,182,197,Paldea,188,224,204,Ice,Ghost
361,Clamperl,122,144,48,Hoenn,40,2,25,Normal,Psychic
362,Huntail,100,89,235,Hoenn,138,189,78,Fighting,Grass
363,Gorebyss,230,241,225,Johto,231,40,230,Fire,Poison
364,Relicanth,54,223,131,Unova,160,167,101,Steel,Dragon
365,Luvdisc,91,232,226,Paldea,185,186,49,Psychic,DNE
366,Bagon,213,5,135,Johto,231,211,84,Fighting,Ice
367,Shelgon,214,82,198,Paldea,40,167,254,Electric,Dragon
368,Salamence,46,87,10,Kanto,103,71,61,Psychic,Normal
369,Beldum,180,129,132,Paldea,190,31,167,Poison,Ghost
370,Metang,60,243,123,Alola,118,172,11,Bug,DNE
371,Metagross,27,3,221,Paldea,29,227,255,Ground,Dragon
372,Regirock,146,199,208,Sinnoh,207,197,129,Poison,Psychic
373,Regice,239,34,86,Sinnoh,193,116,114,Dragon,Ice
374,Registeel,200,56,90,Sinnoh,11,190,171,Fire,DNE
375,Latias,186,170,145,Sinnoh,240,105,129,Water,Steel
376,Latios,67,198,228,Galar,113,232,161,Rock,Flying
377,Kyogre,167,112,41,Johto,238,205,44,Psychic,DNE
378,Groudon,184,75,113,Galar,165,19,195,Ice,Fighting
379,Rayquaza,135,53,187,Kalos,244,7,10,Fire,Fighting
380,Jirachi,249,222,235,Paldea,245,113,156,Fire,DNE
381,Deoxys,132,245,67,Paldea,152,80,76,Dark,Poison
382,Turtwig,225,10,84,Paldea,18,88,191,Psychic,Electric
383,Grotle,223,9,54,Kalos,80,85,158,Normal,Steel
384,Torterra,207,39,216,Kalos,251,39,79,Steel,Ice
385,Chimchar,141,189,67,Alola,95,213,111,Ghost,DNE
386,Monferno,44,1,193,Sinnoh,94,191,124,Water,DNE
387,Infernape,82,105,164,Alola,58,11,101,Psychic,Rock
388,Piplup,6,82,192,Johto,103,64,138,Electric,Dragon
389,Prinplup,32,116,145,Sinnoh,212,163,173,Steel,Flying
390,Empoleon,2,22,136,Alola,135,11,220,Bug,Fire
391,Starly,198,234,108,Unova,178,164,222,Steel,DNE
392,Staravia,118,17,173,Kanto,159,148,204,Steel,Ice
393,Staraptor,187,53,84,Paldea,192,156,121,Psychic,Poison
394,Bidoof,86,229,56,Unova,92,125,229,Normal,Dragon
395,Bibarel,133,100,61,Johto,108,121,8,Electric,DNE
396,Kricketot,123,154,102,Sinnoh,14,124,23,Normal,DNE
397,Kricketune,131,172,242,Paldea,31,140,137,Grass,Dark
398,Shinx,182,187,147,Johto,27,41,13,Steel,DNE
399,Luxio,69,13,43,Sinnoh,248,190,18,Electric,DNE
400,Luxray,150,14,101,Sinnoh,198,233,64,Steel,Bug
401,Budew,230,52,187,Kalos,220,53,92,Water,DNE
402,Roserade,19,245,30,Kalos,58,53,204,Steel,Ground
403,Cranidos,133,24,103,Unova,40,72,114,Flying,DNE
404,Rampardos,251,99,78,Sinnoh,49,8,55,Fairy,DNE
405,Shieldon,208,138,3,Sinnoh,179,87,247,Grass,Poison
406,Bastiodon,233,32,123,Alola,81,205,122,Steel,Water
407,Burmy,34,45,167,Kalos,158,8,232,Poison,Normal
408,Wormadam,136,239,238,Kanto,159,157,70,Psychic,Dark
409,Mothim,195,156,107,Kanto,115,212,83,Poison,Flying
410,Combee,217,16,168,Johto,64,176,201,Grass,Steel
411,Vespiquen,256,140,164,Kanto,107,195,38,Ground,DNE
412,Pachirisu,130,161,61,Galar,40,116,178,Water,Normal
413,Buizel,216,13,97,Paldea,6,59,15,Dark,Ice
414,Floatzel,108,224,104,Johto,22,170,75,Steel,Poison
415,Cherubi,100,186,141,Unova,248,56,87,Bug,Dark
416,Cherrim,54,240,124,Galar,79,138,170,Steel,Fairy
417,Shellos,212,195,206,Hoenn,120,33,229,Dark,Flying
418,Gastrodon,197,222,17,Kanto,179,156,195,Ice,DNE
419,Ambipom,192,117,177,Kanto,37,29,45,Electric,DNE
420,Drifloon,117,89,240,Hoenn,8,24,27,Water,Bug
421,Drifblim,147,130,131,Galar,128,246,232,Flying,DNE
